Next Price,Date,index,Random Forest,Fold,20-SMA Change,Close,Volume
continuous,time,continuous,continuous,discrete,continuous,continuous,continuous
class,meta,meta,meta,meta,,,
45.9504,2022/10/27 0:00,1233,45.1788,1,-0.0471043,45.5202,2508019
45.3481,2022/10/28 0:00,1234,46.205,1,-0.0331779,45.9504,2833663
46.2516,2022/10/31 0:00,1235,45.1788,1,-0.0400728,45.3481,2852074
47.8005,2022/11/1 0:00,1236,46.3682,1,-0.0163784,46.2516,2440874
45.8644,2022/11/2 0:00,1237,46.7518,1,0.0203894,47.8005,4999390
46.7249,2022/11/3 0:00,1238,45.1788,1,-0.0156518,45.8644,3112357
47.1121,2022/11/4 0:00,1239,46.4663,1,0.0069543,46.7249,2762385
47.8435,2022/11/7 0:00,1240,46.4843,1,0.0172798,47.1121,1965096
47.1982,2022/11/8 0:00,1241,46.6537,1,0.0346591,47.8435,2192777
46.6819,2022/11/9 0:00,1242,46.4843,1,0.02075,47.1982,2478036
48.0587,2022/11/10 0:00,1243,46.3682,1,0.0102892,46.6819,1841363
49.1773,2022/11/11 0:00,1244,46.8465,1,0.0384902,48.0587,4495762
49.6075,2022/11/14 0:00,1245,47.8628,1,0.0597564,49.1773,3365392
49.9948,2022/11/15 0:00,1246,47.5683,1,0.0649304,49.6075,2248769
50.1238,2022/11/16 0:00,1247,51.5967,1,0.0693909,49.9948,2805833
49.2203,2022/11/17 0:00,1248,51.5967,1,0.0672897,50.1238,2338281
49.3494,2022/11/18 0:00,1249,47.5683,1,0.0428917,49.2203,2373566
49.5215,2022/11/21 0:00,1250,47.5683,1,0.0410236,49.3494,1307632
48.704,2022/11/22 0:00,1251,47.5683,1,0.0392777,49.5215,2293658
49.3064,2022/11/23 0:00,1252,47.323,1,0.0188561,48.704,2490590
49.0912,2022/11/24 0:00,1253,47.5683,1,0.0273879,49.3064,1474633
48.4889,2022/11/25 0:00,1254,47.5683,1,0.0195691,49.0912,1582637
48.618,2022/11/28 0:00,1255,47.323,1,0.00378528,48.4889,2279161
48.704,2022/11/29 0:00,1256,47.4211,1,0.00399808,48.618,3244414
49.4785,2022/11/30 0:00,1257,47.3316,1,0.00483783,48.704,9137267
47.6775,2022/12/1 0:00,1258,47.6664,1,0.0170241,49.4785,3113630
48.2865,2022/12/2 0:00,1259,46.4929,1,-0.0209529,47.6775,7721379
48.678,2022/12/5 0:00,1260,47.4211,1,-0.00964113,48.2865,3484321
48.243,2022/12/6 0:00,1261,47.4211,1,-0.00246477,48.678,3183937
47.9385,2022/12/7 0:00,1262,47.4211,1,-0.0124366,48.243,2962024
49.0261,2022/12/8 0:00,1263,46.7518,1,-0.0199306,47.9385,3746003
49.4611,2022/12/9 0:00,1264,47.8628,1,0.00131309,49.0261,4462834
49.5046,2022/12/12 0:00,1265,47.5683,1,0.0099051,49.4611,2536935
49.7656,2022/12/13 0:00,1266,47.5683,1,0.0108996,49.5046,2145851
48.852,2022/12/14 0:00,1267,49.6876,1,0.0164673,49.7656,2271468
47.46,2022/12/15 0:00,1268,47.4211,1,-0.000893942,48.852,3585593
48.6345,2022/12/16 0:00,1269,46.4929,1,-0.0276133,47.46,13827613
48.417,2022/12/19 0:00,1270,47.4211,1,-0.00281838,48.6345,3893984
48.156,2022/12/20 0:00,1271,47.323,1,-0.00615273,48.417,2141508
48.8085,2022/12/21 0:00,1272,47.323,1,-0.0109541,48.156,1399976
48.33,2022/12/22 0:00,1273,47.4211,1,0.00296034,48.8085,2780199
49.3306,2022/12/23 0:00,1274,47.323,1,-0.00609537,48.33,1375908
49.0261,2022/12/28 0:00,1275,47.8628,1,0.0136034,49.3306,3362107
49.5481,2022/12/29 0:00,1276,47.5683,1,0.00692449,49.0261,1341181
49.5481,2022/12/30 0:00,1277,47.5683,1,0.0167646,49.5481,2010141
49.8091,2023/1/3 0:00,1278,47.5683,1,0.016692,49.5481,2015789
50.1571,2023/1/4 0:00,1279,49.6876,1,0.0198175,49.8091,2281832
49.8091,2023/1/5 0:00,1280,51.4404,1,0.02498,50.1571,1943367
49.7656,2023/1/6 0:00,1281,49.8439,1,0.0166934,49.8091,2302066
50.1136,2023/1/9 0:00,1282,49.6876,1,0.0142293,49.7656,1527769
49.4176,2023/1/10 0:00,1283,51.4404,1,0.0190632,50.1136,1544136
50.1136,2023/1/11 0:00,1284,47.8628,1,0.00450964,49.4176,3273705
49.7656,2023/1/12 0:00,1285,51.5967,1,0.0179825,50.1136,2404655
49.9396,2023/1/13 0:00,1286,49.6876,1,0.0106453,49.7656,1741913
49.8091,2023/1/16 0:00,1287,50.1322,1,0.014,49.9396,3013184
50.0266,2023/1/17 0:00,1288,49.6876,1,0.0103685,49.8091,1620906
50.1571,2023/1/18 0:00,1289,51.4404,1,0.0121457,50.0266,1798825
50.4616,2023/1/19 0:00,1290,51.4404,1,0.0132256,50.1571,1874269
50.2006,2023/1/20 0:00,1291,51.5967,1,0.017276,50.4616,3174109
50.3311,2023/1/26 0:00,1292,51.7932,1,0.00993305,50.2006,3458263
51.3316,2023/1/27 0:00,1293,51.5967,1,0.0110101,50.3311,2920129
50.6356,2023/1/30 0:00,1294,51.9976,1,0.0280089,51.3316,4749256
50.4616,2023/1/31 0:00,1295,51.9976,1,0.0127464,50.6356,6831982
50.7661,2023/2/1 0:00,1296,51.7932,1,0.00781916,50.4616,4461288
50.6356,2023/2/2 0:00,1297,51.8011,1,0.0126691,50.7661,2438696
50.2441,2023/2/3 0:00,1298,51.8011,1,0.0089716,50.6356,2455831
50.1136,2023/2/6 0:00,1299,51.5967,1,0.000736516,50.2441,2614559
50.2876,2023/2/7 0:00,1300,51.4404,1,-0.00181964,50.1136,2100111
50.2441,2023/2/8 0:00,1301,51.4404,1,0.00116919,50.2876,1291202
50.0701,2023/2/9 0:00,1302,51.4404,1,-0.000173083,50.2441,1688222
49.8526,2023/2/10 0:00,1303,51.4404,1,-0.0035926,50.0701,1550687
50.2006,2023/2/13 0:00,1304,49.6876,1,-0.00835027,49.8526,1885972
49.6786,2023/2/14 0:00,1305,51.4404,1,-0.00151416,50.2006,1170177
49.3306,2023/2/15 0:00,1306,47.5683,1,-0.0118116,49.6786,2271040
48.8955,2023/2/16 0:00,1307,47.5683,1,-0.0181393,49.3306,2420344
49.0261,2023/2/17 0:00,1308,47.323,1,-0.0259121,48.8955,2095699
49.5916,2023/2/20 0:00,1309,47.5683,1,-0.0223378,49.0261,1468141
49.1566,2023/2/21 0:00,1310,47.5683,1,-0.0105025,49.5916,1313258
48.852,2023/2/22 0:00,1311,47.5683,1,-0.0179037,49.1566,2029377
49.1566,2023/2/23 0:00,1312,47.323,1,-0.0226709,48.852,1821702
48.4605,2023/2/24 0:00,1313,47.5683,1,-0.0154221,49.1566,1813048
48.33,2023/2/27 0:00,1314,47.4211,1,-0.0265642,48.4605,3504892
49.113,2023/2/28 0:00,1315,47.4211,1,-0.0269324,48.33,4968828
49.2871,2023/3/1 0:00,1316,47.8628,1,-0.00982293,49.113,3497730
49.4176,2023/3/2 0:00,1317,47.5683,1,-0.0048309,49.2871,2258060
50.3746,2023/3/3 0:00,1318,47.6664,1,-0.000967417,49.4176,2980306
50.7226,2023/3/6 0:00,1319,51.7932,1,0.0182458,50.3746,3683877
50.2441,2023/3/7 0:00,1320,51.9976,1,0.0246495,50.7226,3743299
50.1136,2023/3/8 0:00,1321,51.5967,1,0.0150277,50.2441,3121775
49.456,2023/3/9 0:00,1322,51.5967,1,0.0125247,50.1136,2479934
49.7226,2023/3/10 0:00,1323,47.6664,1,-0.000142159,49.456,3034378
50.7446,2023/3/13 0:00,1324,47.6664,1,0.00537998,49.7226,2644646
50.8334,2023/3/14 0:00,1325,51.9976,1,0.0254806,50.7446,3870481
50.9667,2023/3/15 0:00,1326,51.6448,1,0.0260792,50.8334,1797454
51.0112,2023/3/16 0:00,1327,51.8011,1,0.027074,50.9667,2612898
50.8779,2023/3/17 0:00,1328,51.9976,1,0.0257829,51.0112,7133574
50.478,2023/3/20 0:00,1329,51.6448,1,0.0212009,50.8779,1955797
50.3446,2023/3/21 0:00,1330,51.4404,1,0.0122735,50.478,1766614
50.6557,2023/3/22 0:00,1331,51.4404,1,0.00839893,50.3446,1882321
50.1225,2023/3/23 0:00,1332,51.6448,1,0.0127997,50.6557,1504084
49.767,2023/3/24 0:00,1333,51.4404,1,0.00117175,50.1225,1752965
50.1225,2023/3/27 0:00,1334,49.6876,1,-0.00722402,49.767,2149658
50.3446,2023/3/28 0:00,1335,51.4404,1,-0.00191728,50.1225,1460403
50.478,2023/3/29 0:00,1336,51.4404,1,0.00127915,50.3446,1429069
50.3891,2023/3/30 0:00,1337,51.4404,1,0.00274288,50.478,1412347
50.3891,2023/3/31 0:00,1338,51.4404,1,1.25596e-05,50.3891,1778598
50.7001,2023/4/3 0:00,1339,51.4404,1,-1.82E-06,50.3891,1943200
50.7001,2023/4/4 0:00,1340,51.6448,1,0.00619329,50.7001,1576527
51.1445,2023/4/6 0:00,1341,51.6448,1,0.00573817,50.7001,1523458
51.4111,2023/4/11 0:00,1342,51.6448,1,0.0135165,51.1445,1506220
51.3666,2023/4/12 0:00,1343,51.6448,1,0.01683,51.4111,1514644
51.4555,2023/4/13 0:00,1344,51.6448,1,0.014302,51.3666,1017005
51.5,2023/4/14 0:00,1345,51.6448,1,0.0153442,51.4555,943627
51.6333,2023/4/17 0:00,1346,51.6448,1,0.0155531,51.5,2161332
51.1889,2023/4/18 0:00,1347,51.6448,1,0.0175131,51.6333,1089982
51.0556,2023/4/19 0:00,1348,51.6448,1,0.00857995,51.1889,1213697
51.2333,2023/4/20 0:00,1349,51.6448,1,0.00577725,51.0556,1370691
51.5444,2023/4/21 0:00,1350,51.6448,1,0.00852839,51.2333,2056072
51.1445,2023/4/24 0:00,1351,51.6448,1,0.0134544,51.5444,1217299
51.5,2023/4/25 0:00,1352,51.6448,1,0.00510848,51.1445,1292242
51.6777,2023/4/26 0:00,1353,51.6448,1,0.0107264,51.5,1413511
51.8999,2023/4/27 0:00,1354,52.2918,1,0.0123167,51.6777,1471956
51.9443,2023/4/28 0:00,1355,52.2918,1,0.0149021,51.8999,2102462
51.8999,2023/5/2 0:00,1356,52.2918,1,0.0141848,51.9443,1582068
52.2553,2023/5/3 0:00,1357,52.2918,1,0.0119126,51.8999,1062355
52.7441,2023/5/4 0:00,1358,52.659,1,0.016993,52.2553,1414649
53.9439,2023/5/5 0:00,1359,52.659,1,0.0241586,52.7441,1924781
53.9439,2023/5/8 0:00,1360,53.795,1,0.0441663,53.9439,2470859
53.6328,2023/5/9 0:00,1361,53.795,1,0.0408985,53.9439,2947644
54.6548,2023/5/10 0:00,1362,53.795,1,0.0324181,53.6328,1392945
53.544,2023/5/11 0:00,1363,55.4234,1,0.0488168,54.6548,2519897
54.166,2023/5/12 0:00,1364,53.795,1,0.0253574,53.544,1644686
54.0327,2023/5/15 0:00,1365,53.795,1,0.0345853,54.166,1403895
52.9663,2023/5/16 0:00,1366,53.795,1,0.0295487,54.0327,1363160
52.5219,2023/5/17 0:00,1367,52.8153,1,0.00794864,52.9663,2367890
52.3886,2023/5/18 0:00,1368,52.659,1,-0.00177365,52.5219,2111741
52.3442,2023/5/19 0:00,1369,52.659,1,-0.00556674,52.3886,1570087
50.8779,2023/5/22 0:00,1370,52.659,1,-0.0074567,52.3442,1801045
51.3666,2023/5/23 0:00,1371,51.9976,1,-0.0346513,50.8779,3523040
51.3222,2023/5/24 0:00,1372,51.6448,1,-0.0255827,51.3666,2197484
50.9667,2023/5/25 0:00,1373,51.6448,1,-0.0262614,51.3222,1860411
51.1,2023/5/29 0:00,1374,51.6448,1,-0.0323533,50.9667,1539172
50.7001,2023/5/30 0:00,1375,51.8011,1,-0.0290852,51.1,2306052
50.3446,2023/5/31 0:00,1376,51.9976,1,-0.0355438,50.7001,4512279
50.6412,2023/6/1 0:00,1377,51.4774,1,-0.0408871,50.3446,2476393
51.4051,2023/6/2 0:00,1378,51.9976,1,-0.0337516,50.6412,3929667
51.45,2023/6/5 0:00,1379,51.6448,1,-0.0179219,51.4051,1815872
51.1355,2023/6/6 0:00,1380,51.6448,1,-0.0147163,51.45,1506989
51.0007,2023/6/7 0:00,1381,51.6448,1,-0.0180994,51.1355,2040955
51.1804,2023/6/8 0:00,1382,51.6448,1,-0.0182068,51.0007,1391302
51.1355,2023/6/9 0:00,1383,51.6448,1,-0.0114409,51.1804,1251871
51.3602,2023/6/12 0:00,1384,51.6448,1,-0.010006,51.1355,1039921
50.821,2023/6/13 0:00,1385,51.6448,1,-0.00294826,51.3602,1583802
50.5963,2023/6/14 0:00,1386,51.8011,1,-0.0103306,50.821,2336947
51.495,2023/6/15 0:00,1387,51.5967,1,-0.0124269,50.5963,2814031
51.495,2023/6/16 0:00,1388,51.9976,1,0.00612267,51.495,3773450
55.5391,2023/6/19 0:00,1389,51.6448,1,0.00700184,51.495,1612034
55.6739,2023/6/20 0:00,1390,55.5964,1,0.0827035,55.5391,10661684
55.3144,2023/6/21 0:00,1391,55.8488,1,0.0802815,55.6739,5518171
54.0113,2023/6/23 0:00,1392,55.5607,1,0.0692112,55.3144,4007738
54.2809,2023/6/26 0:00,1393,53.795,1,0.0413163,54.0113,3051491
54.9999,2023/6/27 0:00,1394,53.795,1,0.0431815,54.2809,2658012
54.6853,2023/6/28 0:00,1395,55.9462,1,0.0530521,54.9999,1868436
54.7303,2023/6/29 0:00,1396,55.8397,1,0.0430504,54.6853,1810253
55.0448,2023/6/30 0:00,1397,55.4234,1,0.0395597,54.7303,2291252
54.91,2023/7/3 0:00,1398,55.6473,1,0.0411797,55.0448,2021092
54.191,2023/7/4 0:00,1399,55.8397,1,0.0351985,54.91,899265
53.7866,2023/7/5 0:00,1400,53.795,1,0.0190115,54.191,931040
53.2025,2023/7/6 0:00,1401,53.795,1,0.00889198,53.7866,1946584
52.843,2023/7/7 0:00,1402,52.659,1,-0.00412147,53.2025,1551324
53.4272,2023/7/10 0:00,1403,52.659,1,-0.0123871,52.843,1455704
53.6968,2023/7/11 0:00,1404,52.659,1,-0.00360337,53.4272,1833214
54.8201,2023/7/12 0:00,1405,53.795,1,-0.000752551,53.6968,1775160
55.0448,2023/7/13 0:00,1406,55.4789,1,0.0163703,54.8201,2311424
54.7303,2023/7/14 0:00,1407,55.4937,1,0.0163445,55.0448,2258112
54.6853,2023/7/18 0:00,1408,55.8397,1,0.00752757,54.7303,1441626
55.0897,2023/7/19 0:00,1409,55.8397,1,0.00375268,54.6853,1451277
55.584,2023/7/20 0:00,1410,55.9462,1,0.0115928,55.0897,1675095
55.1796,2023/7/21 0:00,1411,56.051,1,0.0207533,55.584,1758083
55.2695,2023/7/24 0:00,1412,55.9462,1,0.0134522,55.1796,1792543
56.258,2023/7/25 0:00,1413,55.4937,1,0.0139312,55.2695,2184919
56.3928,2023/7/26 0:00,1414,56.3892,1,0.0301983,56.258,3160629
57.0668,2023/7/27 0:00,1415,56.4178,1,0.0313514,56.3928,2346276
57.0219,2023/7/28 0:00,1416,57.0246,1,0.0414104,57.0668,2743409
57.4713,2023/7/31 0:00,1417,57.1234,1,0.038419,57.0219,3496250
56.0334,2023/8/1 0:00,1418,57.8249,1,0.0442949,57.4713,2143284
56.258,2023/8/2 0:00,1419,56.3079,1,0.0171289,56.0334,3026507
55.7188,2023/8/3 0:00,1420,56.5649,1,0.019295,56.258,2003080
56.3928,2023/8/4 0:00,1421,55.9663,1,0.00776132,55.7188,2383526
55.8536,2023/8/7 0:00,1422,56.4105,1,0.0170178,56.3928,1364720
55.7188,2023/8/8 0:00,1423,56.3649,1,0.00456622,55.8536,2824392
55.9435,2023/8/9 0:00,1424,56.109,1,8.05981e-05,55.7188,1973248
56.1232,2023/8/10 0:00,1425,56.3026,1,0.00209277,55.9435,1518881
55.0897,2023/8/11 0:00,1426,56.2621,1,0.0041404,56.1232,2191799
54.5056,2023/8/14 0:00,1427,55.021,1,-0.0143902,55.0897,2419998
54.91,2023/8/15 0:00,1428,54.8041,1,-0.0246452,54.5056,2083995
54.4606,2023/8/16 0:00,1429,54.911,1,-0.0176059,54.91,2392642
52.843,2023/8/17 0:00,1430,54.789,1,-0.0250965,54.4606,1608827
52.6183,2023/8/18 0:00,1431,51.3912,1,-0.0517276,52.843,3554831
52.6633,2023/8/21 0:00,1432,51.5147,1,-0.0535844,52.6183,2805979
52.5285,2023/8/22 0:00,1433,50.7185,1,-0.0505508,52.6633,1674446
53.0677,2023/8/23 0:00,1434,50.7185,1,-0.0497867,52.5285,2045260
52.9329,2023/8/24 0:00,1435,52.5755,1,-0.0371367,53.0677,1774074
53.6518,2023/8/25 0:00,1436,52.5755,1,-0.0359672,52.9329,1763593
54.7303,2023/8/28 0:00,1437,53.6826,1,-0.0198654,53.6518,1417915
54.91,2023/8/29 0:00,1438,55.4234,1,0.00234547,54.7303,3880099
55.2695,2023/8/30 0:00,1439,55.3837,1,0.00667276,54.91,2338446
54.8881,2023/8/31 0:00,1440,55.4937,1,0.014182,55.2695,2909358
54.2525,2023/9/4 0:00,1441,55.3837,1,0.00795245,54.8881,2751512
53.9347,2023/9/5 0:00,1442,53.795,1,-0.00175769,54.2525,1484763
53.7531,2023/9/6 0:00,1443,53.795,1,-0.00585004,53.9347,1586132
53.4353,2023/9/7 0:00,1444,53.795,1,-0.0073992,53.7531,1133557
53.7077,2023/9/11 0:00,1445,52.8153,1,-0.0109772,53.4353,2531069
54.2071,2023/9/12 0:00,1446,53.795,1,-0.00370832,53.7077,1532115
53.6623,2023/9/13 0:00,1447,53.795,1,0.00637934,54.2071,2869874
53.9347,2023/9/14 0:00,1448,53.795,1,-0.00295451,53.6623,2995762
53.2537,2023/9/15 0:00,1449,53.7294,1,0.00301544,53.9347,3736762
54.0709,2023/9/18 0:00,1450,52.8153,1,-0.0085362,53.2537,2522586
53.6623,2023/9/19 0:00,1451,53.795,1,0.00552849,54.0709,1393215
52.9813,2023/9/20 0:00,1452,53.795,1,-0.00303759,53.6623,1465814
53.2991,2023/9/21 0:00,1453,52.659,1,-0.0159802,52.9813,1848449
53.0721,2023/9/22 0:00,1454,52.659,1,-0.0107857,53.2991,1128684
52.7089,2023/9/25 0:00,1455,52.659,1,-0.0150027,53.0721,1063475
53.0267,2023/9/26 0:00,1456,52.659,1,-0.0215403,52.7089,1654169
52.7089,2023/9/27 0:00,1457,52.659,1,-0.0150694,53.0267,1399292
52.6181,2023/9/28 0:00,1458,52.659,1,-0.0191309,52.7089,2020286
52.0279,2023/9/29 0:00,1459,52.8153,1,-0.0187279,52.6181,3320981
50.6205,2023/10/3 0:00,1460,52.8153,1,-0.0267929,52.0279,3075673
51.2561,2023/10/4 0:00,1461,51.2736,1,-0.0493243,50.6205,4981216
52.0279,2023/10/5 0:00,1462,51.6448,1,-0.0346714,51.2561,1761915
51.5285,2023/10/6 0:00,1463,52.659,1,-0.0183734,52.0279,1763444
51.3923,2023/10/9 0:00,1464,51.6448,1,-0.0257511,51.5285,730011
51.9371,2023/10/10 0:00,1465,51.8011,1,-0.0264459,51.3923,2950177
53.0267,2023/10/11 0:00,1466,52.2918,1,-0.0144728,51.9371,2035945
52.0279,2023/10/12 0:00,1467,52.659,1,0.00733072,53.0267,1856145
52.2095,2023/10/13 0:00,1468,52.659,1,-0.0101063,52.0279,1568924
52.6635,2023/10/16 0:00,1469,52.659,1,-0.00501811,52.2095,1243703
52.8451,2023/10/17 0:00,1470,52.659,1,0.00419863,52.6635,1645131
51.8009,2023/10/18 0:00,1471,52.659,1,0.00884032,52.8451,1762354
51.2561,2023/10/19 0:00,1472,52.2918,1,-0.00933377,51.8009,1160227
51.0291,2023/10/20 0:00,1473,51.6448,1,-0.0181327,51.2561,1393334
51.0745,2023/10/24 0:00,1474,51.6448,1,-0.0203512,51.0291,1906847
